| Item Code | Item Name | Qty Owned | Average Cost | Sales Price |
| SHOES | PUKS DRIVE X EUR-32 BLUE\CYAN | 1 | 3,696.00 | - |
| SHOES | PUKS DRIVE X UK-10 LIGHT BLUE | 1 | 3,200.00 | - |
| SHOES | PUKS DRIVE X UK-10 WHITE\GOLD | 1 | 4,000.00 | - |
| SHOES | PUKS DRIVE X UK-11 LIGHT BLUE | 1 | 3,200.00 | - |
| SHOES | PUKS DRIVE X UK-11 RED | 1 | 3,200.00 | - |
| SHOES | PUKS DRIVE X UK-11 WHITE\GOLD | 1 | 4,000.00 | - |
| SHOES | PUKS DRIVE X UK-3 RED | 1 | 3,200.00 | - |
| SHOES | PUKS DRIVE X UK-4 LIGHT BLUE | 1 | 3,200.00 | - |
| SHOES | PUKS DRIVE X UK-6 RED | 1 | 3,750.00 | - |
| SHOES | PUKS DRIVE X UK-8 LIGHT BLUE | 1 | 3,200.00 | - |
| SHOES | PUKS DRIVE X UK-9 LIGHT BLUE | 1 | 3,200.00 | - |
| SHOES | YONEX DRIVE I UK-10 BLUE | 1 | 6,863.00 | 10,000.00 |
| SHOES | YONEX SHB 37 UK-1 WHITE | 1 | 11,166.00 | - |
| SHOES | YONEX SHB 37 UK-2 WHITE | 1 | 11,166.00 | - |
| SHOES | YONEX SHB 37 UK-8 YELLOW | 1 | 11,166.00 | - |
| SHOES | YONEX SHB 39 UK-2 BLUE | 1 | 10,519.00 | - |
| SHOES | YONEX SHB 39 UK-3 BLUE | 1 | 10,519.00 | - |
| SHOES | YONEX SHB 65 Z3 UK-10 WHITE/BLUE | 1 | 33,000.00 | 0.00 |
| SHOES | YONEX STRIDER BEAT UK-6 WHITE | 1 | 19,100.00 | - |
| SHOES | YONEX VELO 100 UK-1 BLACK | 1 | 7,307.00 | - |
| SHOES | YONEX VELO 100 UK-1 BLUE | 1 | 7,307.00 | - |
| SHOES | YONEX VELO 100 UK-1 GRAY/LIME | 1 | 7,307.00 | - |
| SHOES | YONEX VELO 100 UK-10 RED | 1 | 7,000.00 | - |
| SHOES | YONEX VELO 100 UK-11 YELLOW | 1 | 7,000.00 | - |
| SHOES | YONEX VELO 100 UK-2 BLACK | 1 | 6,500.00 | - |
| SHOES | YONEX VELO 100 UK-2 BLUE | 1 | 7,307.00 | - |
| SHOES | YONEX VELO 100 UK-2 RED | 1 | 6,500.00 | - |
| SHOES | YONEX VELO 100 UK-3 BLUE | 1 | 5,500.00 | - |
| SHOES | YONEX VELO 100 UK-3 RED | 1 | 6,500.00 | - |
| SHOES | YONEX VELO 100 UK-4 RED | 1 | 6,500.00 | - |
| SHOES | YONEX VELO 100 UK-5 BLACK | 1 | 7,000.00 | - |
| SHOES | YONEX VELO 100 UK-5 GRAY/LIME | 1 | 7,000.00 | - |
| SHOES | YONEX VELO 100 UK-6 GRAY/LIME | 1 | 7,000.00 | - |
| SHOES | YONEX VELO 100 UK-6 YELLOW | 1 | 7,000.00 | - |
| SHOES | YONEX VELO 100 UK-8 RED | 1 | 6,500.00 | - |
| SHOES | YONEX VELO 100 UK-9 BLUE | 1 | 5,500.00 | - |
| SHOES | YONEX VELO 100 UK-9 WHITE | 1 | 7,307.00 | - |
| SHUTTLECOCKS | LI MEI 10 PRO | 1 | 4,300.00 | 4,900.00 |
| SHUTTLECOCKS | LIN MEI F7 | 1 | 4,300.00 | 4,900.00 |
| SHUTTLECOCKS | VONEX TUBE | 1 | 3,800.00 | 3,800.00 |
| SHUTTLECOCKS | VONEX TUBE SINGLE | 1 | 316.67 | 400.00 |
| STRINGS | YONEX BG 66 ULTIMAX BLACK | 1 | 1,910.00 | - |
| BAGS | HUNDRED 3 ZIPPER LEVEL-UP BAG (2M145/144) | 0 | - | 0.00 |
| BAGS | HUNDRED BACKPACK 3M007 | 0 | - | 0.00 |
| BAGS | HUNDRED BOX TYPE - 3M121 | 0 | - | 15,000.00 |
| BAGS | HUNDRED BOX TYPE - 3M121 BLUE | 0 | - | - |
| BAGS | HUNDRED BOX TYPE 2 POCKET - 3M120 | 0 | - | 15,500.00 |
| BAGS | HUNDRED BOX TYPE 2 POCKET - 3M120 WHITE | 0 | - | - |
| BAGS | HUNDRED BOX TYPE 3M009-1 | 0 | - | 0.00 |
| BAGS | HUNDRED COSMO RACKET BAG- 3M085 | 0 | - | 5,500.00 |
| BAGS | HUNDRED COSMO RACKET BAG- 3M085 BLACK/RED | 0 | - | - |
| BAGS | HUNDRED IDEAL BAG - 2M148/147/146 | 0 | - | 0.00 |
| BAGS | HUNDRED NUCLEAR EDGE BAG 2M090 | 0 | - | 0.00 |
| BAGS | LI NING 2 ZIPPER BLUE - ABDT359-3 | 0 | - | - |
| BAGS | LI NING 3 POCKET BAG(661/853) | 0 | - | 0.00 |
| BAGS | LI NING BACK PACK ABSU385 | 0 | - | 0.00 |
| BAGS | LI NING BAG ABDU309 | 0 | - | 22,500.00 |
| BAGS | LI NING BAG ABJS059 | 0 | - | 20,000.00 |
| BAGS | LI NING BAG ABJU013 | 0 | - | 0.00 |
| BAGS | LI NING BAG ABJU033 | 0 | - | 28,000.00 |
| BAGS | LI NING BAG ABLU069 | 0 | - | 25,000.00 |
| BAGS | LI NING BAG ABLV029 | 0 | - | 18,000.00 |
| BAGS | LI NING BAG LU067 | 0 | - | 0.00 |
| BAGS | LI NING BOX BAG 399 | 0 | - | 0.00 |
| BAGS | MAXBOLT BOX 4013 BAG | 0 | - | 0.00 |
| BAGS | YONEX BACKPACK ACE 2312 | 0 | - | 0.00 |
| BAGS | YONEX 3 ZIPPER (BT 9) | 0 | - | 0.00 |
| BAGS | YONEX 3D B1 ZIPPER BOX TYPE BAG | 0 | - | 0.00 |
| BAGS | YONEX 3D BOX TYPE BAG (3D-2231) | 0 | - | 0.00 |
| BAGS | YONEX BAG 2331WEX | 0 | - | - |
| BAGS | YONEX BOX TOURNAMENT BAG 2331 | 0 | - | 12,500.00 |
| CLOTHS | HUNDRED SHORTS (3M130/131) | 0 | - | 0.00 |
| CLOTHS | HUNDRED SHORTS (4M016/017) | 0 | - | 3,000.00 |
| CLOTHS | HUNDRED T.SHIRTS (3M123/124/125/126/127/129) | 0 | - | 3,000.00 |
| CLOTHS | LI NING / YONEX T SHIRT (963/707/995/993) | 0 | - | 3,000.00 |
| CLOTHS | LI NING / YONEX SHORTS(725/727/745/723) | 0 | - | 3,000.00 |
| CLOTHS | LI NING BOTTOM | 0 | - | 0.00 |
| CLOTHS | LI NING TOP | 0 | - | 4,500.00 |
| GRIPS | FELET GRIP | 0 | - | 500.00 |
| GRIPS | HUNDRED GRIP - GTO 20 | 0 | - | 500.00 |
| GRIPS | HUNDRED GRIP - GTR 17/18/19/34 | 0 | - | 0.00 |
| GRIPS | KONEX TOWEL GRIP | 0 | - | 700.00 |
| GRIPS | LI NING CUSHION WRAP SINGLE | 0 | - | 2,500.00 |
| GRIPS | LI NING TOWEL GRIP ROLL (GC-200R) | 0 | - | 0.00 |
| GRIPS | LI NING TOWEL GRIPS(GC 001) | 0 | - | 0.00 |
| GRIPS | MAXBOLT PU GRIP | 0 | - | 500.00 |
| GRIPS | MAXBOLT TOWEL GRIP ROLL | 0 | - | 0.00 |
| GRIPS | MAXBOLT TOWEL GRIP SINGLE | 0 | - | 0.00 |
| GRIPS | OQO OVER GRIP | 0 | - | 500.00 |
| GRIPS | YONEX SUPER GRAP OVER GRIP | 0 | - | 0.00 |
| K-TAPE | LI NING K-TAPE BOX | 0 | - | 3,000.00 |
| NETS | HUNDRED BADMINTON NET BNT-80 | 0 | - | 0.00 |
| NETS | LI NING BADMINTON NET BN450L | 0 | - | 0.00 |
| NETS | LI NING BADMINTON NET BN600L | 0 | - | 0.00 |
| NETS | YONEX HIGH QUALITY NET | 0 | - | 0.00 |
| OTHER | APACS GRIP POWDER | 0 | - | 3,000.00 |
| OTHER | BADMINTON KEY TAG | 0 | - | 500.00 |
| OTHER | GOLD KEY TAG | 0 | - | - |
| OTHER | GROMMET BOX | 0 | - | 0.00 |
| OTHER | HUNDRED INSOLE PRO | 0 | - | 0.00 |
| OTHER | LI NING FLIP-FLOPS | 0 | - | 0.00 |
| OTHER | LI NING INSOLE | 0 | - | 2,500.00 |
| OTHER | LI NING SKIPPING ROPE 776/778 | 0 | - | 0.00 |
| OTHER | LI NING TOWEL (L) | 0 | - | 2,500.00 |
| OTHER | LI NING TOWEL (S) | 0 | - | 2,500.00 |
| OTHER | LI-NING KEY TAG | 0 | - | 0.00 |
| OTHER | Li-Ning Skipping Rope | 0 | - | 0.00 |
| RACKETS | HUNDRED CULT 72 / 73 / HH | 0 | - | 8,500.00 |
| RACKETS | HUNDRED JUNIOR RACKET | 0 | - | 0.00 |
| RACKETS | HUNDRED JUNIOR RACKET 1000JR | 0 | - | 4,500.00 |
| RACKETS | HUNDRED JUNIOR RACKET 200JR | 0 | - | 0.00 |
| RACKETS | HUNDRED POWER TEK 1000 PRO | 0 | - | 0.00 |
| RACKETS | HUNDRED POWERTEK 200 | 0 | - | 0.00 |
| RACKETS | HUNDRED POWERTEK 900 SERIES | 0 | - | 0.00 |
| RACKETS | HUNDRED ROCK 78 / 79 RACKET | 0 | - | 0.00 |
| RACKETS | HUNDRED ROCK 79 RACKET / HH | 0 | - | 6,000.00 |
| RACKETS | LI NING 3D CALIBER 001 | 0 | - | 18,000.00 |
| RACKETS | LI NING 3D CALIBER 500 | 0 | - | 35,000.00 |
| RACKETS | LI NING 3D CALIBER 500 PRO | 0 | - | 0.00 |
| RACKETS | LI NING 3D CALIBER 600 I / B | 0 | - | 0.00 |
| RACKETS | LI NING 3D CALIBER 900B | 0 | - | 0.00 |
| RACKETS | LI NING 3D CALIBER 900I | 0 | - | 0.00 |
| RACKETS | LI NING AERONAUT 9000 | 0 | - | 0.00 |
| RACKETS | LI NING ARMOUR 252/232 / EB | 0 | - | 10,500.00 |
| RACKETS | LI NING AX FORCE 10 / HH | 0 | - | 12,500.00 |
| RACKETS | LI NING AX FORCE 100 / HH | 0 | - | 55,000.00 |
| RACKETS | LI NING AX FORCE 20 | 0 | - | 0.00 |
| RACKETS | LI NING AX FORCE 60 | 0 | - | 0.00 |
| RACKETS | LI NING AX FORCE 90 / HH | 0 | - | 0.00 |
| RACKETS | LI NING AX FORCE CANNON / HH | 0 | - | 12,500.00 |
| RACKETS | LI NING BLACKIRON / HH | 0 | - | 10,000.00 |
| RACKETS | LI NING BLADE X 500 | 0 | - | 30,000.00 |
| RACKETS | LI NING BLADE X 73 | 0 | - | 25,000.00 |
| RACKETS | LI NING BLADE X 900 | 0 | - | 55,000.00 |
| RACKETS | LI NING BLADE X SONOR | 0 | - | 0.00 |
| RACKETS | LI NING BLADEX SPIRAL | 0 | - | 0.00 |
| RACKETS | LI NING G FORCE SUPERLITE MAX 9 / HH | 0 | - | 0.00 |
| RACKETS | LI NING G FORCE X-5 | 0 | - | 0.00 |
| RACKETS | LI NING GOLD MEDAL RACKET | 0 | - | 9,500.00 |
| RACKETS | LI NING HALBERTEC 5000 | 0 | - | 35,000.00 |
| RACKETS | LI NING HALBERTEC 8000 | 0 | - | 55,000.00 |
| RACKETS | LI NING HALBERTEC 9000 | 0 | - | 0.00 |
| RACKETS | LI NING HALBERTEC MOTOR | 0 | - | 14,000.00 |
| RACKETS | LI NING HIGH CARBON 1000 | 0 | - | 15,000.00 |
| RACKETS | LI NING SUPERLITE MAX 10 / HH | 0 | - | 10,000.00 |
| RACKETS | LI NING TECTONIC 1 / HH | 0 | - | 15,500.00 |
| RACKETS | LI NING TECTONIC 3R | 0 | - | 0.00 |
| RACKETS | LI NING TECTONIC 6 | 0 | - | 0.00 |
| RACKETS | LI NING TECTONIC 7 | 0 | - | 0.00 |
| RACKETS | LI NING TECTONIC 9 4U | 0 | - | 0.00 |
| RACKETS | LI NING TURBO CHARGING Z BOOST / HH | 0 | - | - |
| RACKETS | LI NING TURBO CHARGING Z DRIVE/ HH | 0 | - | - |
| RACKETS | LI NING TURBOCHARGING MARSHAL | 0 | - | 0.00 |
| RACKETS | LI NING WIND LITE SERIES | 0 | - | 0.00 |
| RACKETS | LI NING WINDSTORM 700 SP | 0 | - | 0.00 |
| RACKETS | LI NING WINDSTORM 72 / HH | 0 | - | 35,000.00 |
| RACKETS | LI NING WINDSTORM 74 | 0 | - | 0.00 |
| RACKETS | LI NING WINDSTORM 75 | 0 | - | 0.00 |
| RACKETS | LI NING WINDSTORM 79 / HH | 0 | - | 25,000.00 |
| RACKETS | LI NING WINDSTORM NANO 790 LITE | 0 | - | 0.00 |
| RACKETS | LI NING XIPHOS X-1 | 0 | - | 35,000.00 |
| RACKETS | MAXBOLT (BLACK / PEARL) FORCE II (MYS) / HH | 0 | - | 8,000.00 |
| RACKETS | MAXBOLT ATTROID 3 | 0 | - | 9,000.00 |
| RACKETS | MAXBOLT FORCE VX / EB | 0 | - | 9,000.00 |
| RACKETS | MAXBOLT GALLANT FORCE | 0 | - | 0.00 |
| RACKETS | MAXBOLT GALLANT SPEED (MYS) / HL | 0 | - | 14,500.00 |
| RACKETS | MAXBOLT NANO TECH 10/11 | 0 | - | 0.00 |
| RACKETS | MAXBOLT NAVIGATOR II / HH | 0 | - | 7,500.00 |
| RACKETS | MAXBOLT RACKET 180G | 0 | - | 0.00 |
| RACKETS | MAXBOLT RACKET 9JR BLUE | 0 | - | 7,000.00 |
| RACKETS | MAXBOLT RACKET 9JR RED | 0 | - | 7,000.00 |
| RACKETS | MAXBOLT RACKET BLACK WOVEN LTD / HH | 0 | - | 14,500.00 |
| RACKETS | MAXBOLT RACKET GALLANT FORCE BLACK | 0 | - | 0.00 |
| RACKETS | MAXBOLT RACKET SUPERSTAR 10 | 0 | - | 0.00 |
| RACKETS | MAXBOLT RAPTOR 9 | 0 | - | 0.00 |
| RACKETS | MAXBOLT SPADE / HH | 0 | - | 9,000.00 |
| RACKETS | MAXBOLT SUPERSTAR ACE | 0 | - | 0.00 |
| RACKETS | MAXBOLT SUPERSTAR NOVA | 0 | - | 0.00 |
| RACKETS | MAXBOLT TRAINING RACKET 120G | 0 | - | 0.00 |
| RACKETS | MAXBOLT WOVEN TEC 90 | 0 | - | 0.00 |
| RACKETS | VICTOR AURA SPEED | 0 | - | 0.00 |
| RACKETS | VICTOR IRON MAN | 0 | - | 0.00 |
